"","No","surname","first_name","Games","Age","Date of Birth","Height","Weight","Origin","Position_1","Position_2"
"1","3","Berry","Sam","39","21yr 11mth","12 Feb 2002","182cm","88kg","Gippsland Power","Midfield",NA
"2","40","Bond","Hugh","0","19yr 4mth","25 Sep 2004","185cm","80kg","Greater Western Victoria Rebels","Defender","Midfield"
"3","35","Borlase","James","4","21yr 6mth","18 Jul 2002","192cm","101kg","Sturt","Defender",NA
"4","21","Burgess","Chris","36","28yr 2mth","26 Nov 1995","194cm","97kg","","Defender","Forward"
"5","41","Butts","Jordon","60","24yr 1mth","31 Dec 1999","198cm","97kg","Murray Bushrangers","Defender",NA
"6","15","Cook","Brayden","12","21yr 6mth","18 Jul 2002","191cm","85kg","South Adelaide","Midfield",NA
"7","5","Crouch","Matt","143","28yr 9mth","21 Apr 1995","183cm","85kg","North Ballarat Rebels","Midfield",NA
"8","6","Curtin","Daniel","0","18yr 10mth","8 Mar 2005","197cm","95kg","Claremont","Defender","Midfield"
"9","12","Dawson","Jordan","109","26yr 9mth","9 Apr 1997","191cm","91kg","Sturt","Defender","Midfield"
"10","31","Dowling","Billy","0","19yr 7mth","1 Jul 2004","187cm","80kg","North Adelaide","Midfield","Forward"
"11","11","Edwards","Charlie","0","18yr 8mth","18 May 2005","191cm","85kg","Sandringham Dragons","Defender","Midfield"
"12","32","Fogarty","Darcy","79","24yr 4mth","25 Sep 1999","194cm","100kg","Glenelg","Forward",NA
"13","0","Gallagher","Karl","0","","","187cm","80kg","Monaghan","",NA
"14","44","Gollant","Lachlan","12","22yr 4mth","12 Sep 2001","193cm","85kg","Calder Cannons","Forward",NA
"15","17","Hamill","Will","38","23yr 2mth","17 Nov 2000","187cm","84kg","Dandenong Stingrays","Defender",NA
"16","34","Himmelberg","Elliott","41","25yr 8mth","4 Jun 1998","199cm","99kg","Redlands","Forward",NA
"17","20","Hinge","Mitchell","43","25yr 7mth","26 Jun 1998","190cm","90kg","Glenelg","Defender","Midfield"
"18","1","Jones","Chayce","76","24yr","14 Jan 2000","182cm","84kg","Launceston","Defender","Midfield"
"19","48","Keane","Mark","10","23yr 10mth","17 Mar 2000","194cm","96kg","Cork","Defender",NA
"20","2","Keays","Ben","113","26yr 11mth","23 Feb 1997","186cm","86kg","Brisbane Reserves","Midfield","Forward"
"21","29","Laird","Rory","224","30yr 1mth","29 Dec 1993","177cm","85kg","West Adelaide","Midfield",NA
"22","25","McHenry","Ned","60","23yr 6mth","13 Jul 2000","179cm","81kg","Geelong Falcons","Forward",NA
"23","16","Michalanney","Max","22","19yr 11mth","26 Feb 2004","190cm","80kg","Norwood","Defender",NA
"24","30","Milera","Wayne","96","26yr 4mth","14 Sep 1997","184cm","88kg","Central District","Defender","Forward"
"25","4","Murphy","Lachlan","98","25yr 2mth","4 Dec 1998","174cm","83kg","Adelaide Football Club","Forward",NA
"26","28","Murray","Nick","46","23yr 1mth","18 Dec 2000","194cm","100kg","Allies","Defender",NA
"27","27","Nankervis","Luke","4","20yr 8mth","25 May 2003","191cm","85kg","Sandringham Dragons","Defender","Midfield"
"28","43","O'Brien","Reilly","100","28yr 5mth","20 Aug 1995","202cm","105kg","Calder Cannons","Ruck",NA
"29","37","Parnell","Patrick","16","21yr 11mth","4 Mar 2002","178cm","76kg","Murray Bushrangers","Defender",NA
"30","10","Pedlar","Luke","26","21yr 8mth","17 May 2002","183cm","84kg","Glenelg","Forward",NA
